symbol,entry_time,exit_time,direction,entry_open,exit_close,bars_held,pnl_points,runup_points,drawdown_points,cum_pnl_points
1d,2000-11-16 00:00:00+00:00,2000-11-20 00:00:00+00:00,1,6098.2495011911315,5951.5,3,-146.74950119113146,99.50049880886854,226.99950119113146,4188.891423341725
1d,2000-11-20 00:00:00+00:00,2000-11-28 00:00:00+00:00,-1,6063.093625297783,5803.875,6,259.21862529778264,355.34362529778264,0.0,4448.110048639508
1d,2000-11-28 00:00:00+00:00,2000-11-29 00:00:00+00:00,1,5891.565425790555,5677.625,2,-213.9404257905553,19.18457420944469,285.3154257905553,4234.169622848953
1d,2000-11-29 00:00:00+00:00,2000-12-06 00:00:00+00:00,-1,5847.720212895278,5879.625,6,-31.904787104722345,331.47021289527765,130.52978710472235,4202.26483574423
1d,2000-12-06 00:00:00+00:00,2000-12-08 00:00:00+00:00,1,5716.221725402977,5829.125,3,112.90327459702257,289.0282745970226,4.971725402977427,4315.168110341253
1d,2000-12-08 00:00:00+00:00,2000-12-11 00:00:00+00:00,-1,5791.961681350745,6001.875,2,-209.91331864925542,50.711681350744584,284.2883186492554,4105.2547916919975
1d,2000-12-11 00:00:00+00:00,2000-12-14 00:00:00+00:00,1,5810.543340675373,5772.375,4,-38.16834067537275,265.70665932462725,127.29334067537275,4067.086451016625
1d,2000-12-14 00:00:00+00:00,2000-12-26 00:00:00+00:00,-1,5934.771042584422,5494.375,8,440.3960425844216,692.5210425844216,0.0,4507.482493601046
1d,2000-12-26 00:00:00+00:00,2001-01-02 00:00:00+00:00,1,5411.284344082691,5303.0,5,-108.28434408269095,163.46565591730905,249.53434408269095,4399.198149518355
1d,2001-01-02 00:00:00+00:00,2001-01-04 00:00:00+00:00,-1,5488.900584005169,5546.125,3,-57.22441599483136,327.15058400516864,132.34941599483136,4341.973733523524
1d,2001-01-04 00:00:00+00:00,2001-01-08 00:00:00+00:00,1,5403.997646001292,5309.75,3,-94.2476460012922,204.2523539987078,201.7476460012922,4247.726087522232
1d,2001-01-08 00:00:00+00:00,2001-01-11 00:00:00+00:00,-1,5453.530661500323,5501.625,4,-48.09433849967718,251.28066150032282,154.71933849967718,4199.631749022555
1d,2001-01-11 00:00:00+00:00,2001-01-26 00:00:00+00:00,1,5387.22258268754,5650.375,11,263.1524173124599,441.0274173124599,0.0,4462.784166335015
1d,2001-01-26 00:00:00+00:00,2001-01-30 00:00:00+00:00,-1,5722.531589436218,5735.0,3,-12.468410563781617,142.78158943621838,45.21841056378162,4450.315755771233
1d,2001-01-30 00:00:00+00:00,2001-02-01 00:00:00+00:00,1,5689.351647359054,5644.375,3,-44.97664735905437,81.89835264094563,89.10164735905437,4405.339108412179
1d,2001-02-01 00:00:00+00:00,2001-02-16 00:00:00+00:00,-1,5702.337911839763,5306.375,12,395.96291183976336,490.08791183976336,0.0,4801.302020251942
1d,2001-02-16 00:00:00+00:00,2001-02-20 00:00:00+00:00,1,5352.840069781172,5216.0,2,-136.84006978117213,17.909930218827867,217.59006978117213,4664.46195047077
1d,2001-02-20 00:00:00+00:00,2001-02-27 00:00:00+00:00,-1,5329.607534890586,5066.875,6,262.73253489058607,357.35753489058607,0.0,4927.194485361356
1d,2001-02-27 00:00:00+00:00,2001-02-28 00:00:00+00:00,1,5105.417422965331,4976.875,2,-128.54242296533084,29.332577034669157,193.16742296533084,4798.652062396025
1d,2001-02-28 00:00:00+00:00,2001-03-07 00:00:00+00:00,-1,5086.146211482665,5024.5,6,61.64621148266542,215.39621148266542,0.0,4860.29827387869
1d,2001-03-07 00:00:00+00:00,2001-03-12 00:00:00+00:00,1,4974.1412878588335,4783.625,4,-190.5162878588335,89.1087121411665,266.8912878588335,4669.781986019857
1d,2001-03-12 00:00:00+00:00,2001-03-26 00:00:00+00:00,-1,4960.080160982354,4733.625,11,226.45516098235385,349.33016098235385,0.0,4896.237147002211
1d,2001-03-26 00:00:00+00:00,2001-03-29 00:00:00+00:00,1,4711.263628086897,4608.875,4,-102.38862808689737,74.48637191310263,143.51362808689737,4793.848518915313
1d,2001-03-29 00:00:00+00:00,2001-04-09 00:00:00+00:00,-1,4708.642328510862,4489.375,8,219.26732851086217,338.89232851086217,0.0,5013.115847426176
1d,2001-04-09 00:00:00+00:00,2001-04-18 00:00:00+00:00,1,4484.832166628991,4813.375,7,328.5428333710088,473.9178333710088,37.08216662899122,5341.658680797184
1d,2001-04-18 00:00:00+00:00,2001-04-19 00:00:00+00:00,-1,4659.604799478579,4919.625,2,-260.02020052142143,0.0,319.14520052142143,5081.638480275763
1d,2001-04-19 00:00:00+00:00,2001-04-24 00:00:00+00:00,1,4736.489899739289,4822.375,4,85.88510026071071,269.2601002607107,0.0,5167.523580536474
1d,2001-04-24 00:00:00+00:00,2001-05-01 00:00:00+00:00,-1,4896.608112467411,4902.125,6,-5.516887532588953,133.85811246741105,53.14188753258895,5162.006693003885
1d,2001-05-01 00:00:00+00:00,2001-05-07 00:00:00+00:00,1,4842.538534764606,4934.125,5,91.58646523539392,158.71146523539392,10.288534764606084,5253.593158239279
1d,2001-05-07 00:00:00+00:00,2001-05-08 00:00:00+00:00,-1,4916.463345922788,4932.875,2,-16.411654077212006,14.713345922787994,50.786654077212006,5237.181504162067
1d,2001-05-08 00:00:00+00:00,2001-05-10 00:00:00+00:00,1,4925.294172961394,4884.125,3,-41.169172961394,32.455827038606,75.044172961394,5196.012331200673
1d,2001-05-10 00:00:00+00:00,2001-05-17 00:00:00+00:00,-1,4923.604793240349,4930.375,6,-6.770206759651046,150.85479324034895,50.145206759651046,5189.242124441022
1d,2001-05-17 00:00:00+00:00,2001-05-25 00:00:00+00:00,1,4848.100931038761,4998.5,7,150.3990689612392,241.1490689612392,0.0,5339.641193402261
1d,2001-05-25 00:00:00+00:00,2001-06-05 00:00:00+00:00,-1,4998.75353017248,4894.75,7,104.00353017248017,218.50353017248017,35.99646982751983,5443.644723574741
1d,2001-06-05 00:00:00+00:00,2001-06-12 00:00:00+00:00,1,4847.8711489089455,4843.625,6,-4.246148908945543,159.87885109105446,64.62114890894554,5439.398574665795
1d,2001-06-12 00:00:00+00:00,2001-06-22 00:00:00+00:00,-1,4908.324098403405,4732.875,9,175.4490984034046,260.0740984034046,0.0,5614.8476730692
1d,2001-06-22 00:00:00+00:00,2001-07-06 00:00:00+00:00,1,4721.224410540638,4709.125,10,-12.099410540638019,150.52558945936198,60.47441054063802,5602.748262528562
1d,2001-07-06 00:00:00+00:00,2001-07-13 00:00:00+00:00,-1,4806.357616036212,4752.0,6,54.357616036211766,205.60761603621177,0.0,5657.105878564774
1d,2001-07-13 00:00:00+00:00,2001-07-18 00:00:00+00:00,1,4683.015081751131,4693.875,4,10.85991824886878,102.23491824886878,32.26508175113122,5667.965796813643
1d,2001-07-18 00:00:00+00:00,2001-07-27 00:00:00+00:00,-1,4715.689385218891,4670.75,8,44.9393852188914,138.9393852188914,24.560614781108598,5712.905182032534
1d,2001-07-27 00:00:00+00:00,2001-08-07 00:00:00+00:00,1,4633.645034259523,4696.75,8,63.10496574047738,134.10496574047738,0.0,5776.010147773011
1d,2001-08-07 00:00:00+00:00,2001-08-15 00:00:00+00:00,-1,4720.544101830153,4597.5,7,123.04410183015261,158.2941018301526,0.0,5899.054249603164
1d,2001-08-15 00:00:00+00:00,2001-08-16 00:00:00+00:00,1,4635.227251591096,4562.875,2,-72.35225159109632,2.0227484089036807,114.97725159109632,5826.701998012068
1d,2001-08-16 00:00:00+00:00,2001-08-24 00:00:00+00:00,-1,4616.363625795548,4537.125,7,79.2386257955477,157.1136257955477,0.0,5905.940623807615
1d,2001-08-24 00:00:00+00:00,2001-08-29 00:00:00+00:00,1,4504.769353528056,4509.375,4,4.6056464719440555,89.48064647194406,23.519353528055944,5910.546270279559
